ALL SOURCE CLASS DEFINITIONS
================================================================================

Total: 632 classes/structs

class  C3DCamera                      | 3cameraf.h
class  TWaterFallEffect               | effect.h
class  TWaterFallEffect               | effect.h
class  TWaveData                      | sound.h
class  TWaveData                      | wavedata.h
class  TWaveData                      | wavedata.h
class  TWaveData                      | revtypes.h
class  TWeapon                        | weapon.h
class  TWeapon                        | weapon.h
class  TWeaponSwipe                   | charanimator.h
class  TWeaponSwipe                   | charanimator.h
class  TWindStripAnimator             | stripeffect.h
class  TWindStripAnimator             | stripeffect.h
class  TWindStripEffect               | stripeffect.h
class  TWindStripEffect               | stripeffect.h
struct _color_data                    | effect.h
class  obj                            | 3dimage.h
class  obj                            | 3dimage.h
class  obj                            | 3dimage.h
class  obj                            | object.h
class  obj                            | imagery.h
struct vortex_particle_info           | effect.h
